teamhexcolour,teamhexcolour2,teamid,teamlogourl,teamname,teamabbrev,teamnickname
#062f67,#ff1200,500001,http://rugbyimages.statsperform.com/Team%20Logos/111/500001/Sydney_City_Roosters.png,Sydney Roosters,SYD,Roosters
#610a35,#b4b4be,500002,http://rugbyimages.statsperform.com/Team%20Logos/111/500002/Manly_Warringah_Sea_Eagles.png,Manly-Warringah Sea Eagles,MAN,Sea Eagles
#ee3424,#0c499c,500003,http://rugbyimages.statsperform.com/Team%20Logos/111/500003/NewCastle_Knights.png,Newcastle Knights,NEW,Knights
#ffa71f,#2f8fbf,500004,http://rugbyimages.statsperform.com/Team%20Logos/111/500004/Gold_Coast_Titans.png,Gold Coast Titans,GOL,Titans
#01914c,#ed1b26,500005,http://rugbyimages.statsperform.com/Team%20Logos/111/500005/South_Sydney_Rabbitohs.png,South Sydney Rabbitohs,SOU,Rabbitohs
#0055a5,#b4b4be,500010,http://rugbyimages.statsperform.com/Team%20Logos/111/500010/Canterbury-Bankstown_Bulldogs.png,Canterbury-Bankstown Bulldogs,BUL,Bulldogs
#650038,#ffce35,500011,http://rugbyimages.statsperform.com/Team%20Logos/111/500011/Brisbane_Broncos.png,Brisbane Broncos,BRI,Broncos
#fcde05,#102247,500012,http://rugbyimages.statsperform.com/Team%20Logos/111/500012/North_Queensland_Cowboys.png,North Queensland Cowboys,NQL,Cowboys
#00ab57,#022c9a,500013,http://rugbyimages.statsperform.com/Team%20Logos/111/500013/Canberra_Raiders.png,Canberra Raiders,CAN,Raiders
#00687d,#232020,500014,http://rugbyimages.statsperform.com/Team%20Logos/111/500014/Penrith_Panthers.png,Penrith Panthers,PEN,Panthers
#500180,#feba35,500021,http://rugbyimages.statsperform.com/Team%20Logos/111/500021/Melbourne_Storm.png,Melbourne Storm,MEL,Storm
#fe000b,#b4b4be,500022,http://rugbyimages.statsperform.com/Team%20Logos/111/500022/St_George_Illawarra_Dragons.png,St. George Illawarra Dragons,STG,Dragons
#ff7f00,#000000,500023,http://rugbyimages.statsperform.com/Team%20Logos/111/500023/Wests_Tigers.png,Wests Tigers,WST,Tigers
#4b9ad4,#000000,500028,http://rugbyimages.statsperform.com/Team%20Logos/111/500028/Cronulla-Sutherland_Sharks.png,Cronulla-Sutherland Sharks,CRO,Sharks
#ffd900,#0058a4,500031,http://rugbyimages.statsperform.com/Team%20Logos/111/500031/Parramatta_Eels.png,Parramatta Eels,PAR,Eels
#cccccc,#000000,500032,http://rugbyimages.statsperform.com/Team%20Logos/111/500032/New_Zealand_Warriors.png,New Zealand Warriors,WAR,Warriors
#fb141a,#e5cc7a,500723,http://rugbyimages.statsperform.com/Team%20Logos/111/500723/NRL_TP_M_DOLPHINS_LOGO_01_FC_RGB.png,Dolphins,DOL,Dolphins
